  Frequency            , (DB(V(U1:2)/V(V3:+)))@1, (DB(V(U1:2)/V(V3:+)))@2, (DB(V(U1:2)/V(V3:+)))@3, (DB(V(U1:2)/V(V3:+)))@4, (P(V(U1:2)))@1       , (P(V(U1:2)))@2       , (P(V(U1:2)))@3       , (P(V(U1:2)))@4       
  2.113489039837e+004  ,-5.561622819428e+001  ,-5.569274182231e+001  ,-5.581492027755e+001  ,-5.774296917199e+001  ,-1.899304338065e+002  ,-1.914271551854e+002  ,-1.925870318687e+002  ,-1.977944742489e+002  
  2.238721138568e+004  ,-5.653982961388e+001  ,-5.662621931727e+001  ,-5.676116469283e+001  ,-5.888454142117e+001  ,-1.927053850896e+002  ,-1.941681732413e+002  ,-1.953352179448e+002  ,-2.015861854014e+002  
  2.371373705662e+004  ,-5.742856985885e+001  ,-5.752464273047e+001  ,-5.767222268501e+001  ,-5.998602792149e+001  ,-1.958665212694e+002  ,-1.973106085828e+002  ,-1.985041867840e+002  ,-2.061504159264e+002  
  2.511886431510e+004  ,-5.826999177682e+001  ,-5.837510222825e+001  ,-5.853448656418e+001  ,-6.101559051290e+001  ,-1.994475022555e+002  ,-2.008893827540e+002  ,-2.021309079245e+002  ,-2.115709798478e+002  
  2.660725059799e+004  ,-5.904885494215e+001  ,-5.916173136099e+001  ,-5.933113028479e+001  ,-6.193103286691e+001  ,-2.034660563431e+002  ,-2.049226330259e+002  ,-2.062342453925e+002  ,-2.178663362074e+002  
  2.818382931264e+004  ,-5.974764100385e+001  ,-5.986624791895e+001  ,-6.004270700401e+001  ,-6.268380845007e+001  ,-2.079141389157e+002  ,-2.094011513635e+002  ,-2.108032783127e+002  ,-2.249389975941e+002  
  2.985382618918e+004  ,-6.034790204146e+001  ,-6.046941387508e+001  ,-6.064878645208e+001  ,-6.322933142753e+001  ,-2.127482199182e+002  ,-2.142779862408e+002  ,-2.157858510468e+002  ,-2.325398697735e+002  
  3.162277660168e+004  ,-6.083254223505e+001  ,-6.095350869782e+001  ,-6.113073048929e+001  ,-6.354135356980e+001  ,-2.178833399255e+002  ,-2.194622432993e+002  ,-2.210820310223e+002  ,-2.402861185313e+002  
  3.349654391578e+004  ,-6.118869774938e+001  ,-6.130543026948e+001  ,-6.147513490925e+001  ,-6.362240122300e+001  ,-2.231952658431e+002  ,-2.248218434932e+002  ,-2.265479061843e+002  ,-2.477484168915e+002  
  3.548133892336e+004  ,-6.141037349170e+001  ,-6.151947708189e+001  ,-6.167681969044e+001  ,-6.350249265243e+001  ,-2.285332322677e+002  ,-2.301978145787e+002  ,-2.320123846235e+002  ,-2.545664434988e+002  
  3.758374042884e+004  ,-6.149979959881e+001  ,-6.159867663310e+001  ,-6.174008309312e+001  ,-6.322717055873e+001  ,-2.337412116438e+002  ,-2.354275276500e+002  ,-2.373034780265e+002  ,-2.605237268384e+002  
  3.981071705535e+004  ,-6.146689641933e+001  ,-6.155404334395e+001  ,-6.167761276270e+001  ,-6.284346677885e+001  ,-2.386810069762e+002  ,-2.403692482850e+002  ,-2.422749488185e+002  ,-2.655521665174e+002  
  4.216965034286e+004  ,-6.132709565358e+001  ,-6.140211737383e+001  ,-6.150758530290e+001  ,-6.239086850016e+001  ,-2.432493792344e+002  ,-2.449195706412e+002  ,-2.468239693419e+002  ,-2.696903745632e+002  
  4.466835921510e+004  ,-6.109844393720e+001  ,-6.116184283774e+001  ,-6.125021874866e+001  ,-6.189840342277e+001  ,-2.473848479262e+002  ,-2.490194557684e+002  ,-2.508957931821e+002  ,-2.730337010237e+002  
  4.731512589615e+004  ,-6.079898216300e+001  ,-6.085184752836e+001  ,-6.092493025102e+001  ,-6.138552235167e+001  ,-2.510648607958e+002  ,-2.526501705384e+002  ,-2.544777505700e+002  ,-2.756968921238e+002  
  5.011872336273e+004  ,-6.044497185991e+001  ,-6.048868216198e+001  ,-6.054861944516e+001  ,-6.086434860958e+001  ,-2.542972185681e+002  ,-2.558236067496e+002  ,-2.575879397067e+002  ,-2.777927005752e+002  
  5.308844442310e+004  ,-6.005004213483e+001  ,-6.008603963580e+001  ,-6.013500966205e+001  ,-6.034193359528e+001  ,-2.571099260078e+002  ,-2.585714322467e+002  ,-2.602634214529e+002  ,-2.794222128901e+002  
  5.623413251903e+004  ,-5.962503464310e+001  ,-5.965468360441e+001  ,-5.969470471810e+001  ,-5.982203542459e+001  ,-2.595422096429e+002  ,-2.609358086004e+002  ,-2.625505815452e+002  ,-2.806719291706e+002  
  5.956621435290e+004  ,-5.917825460758e+001  ,-5.920276840554e+001  ,-5.923560888059e+001  ,-5.930637390769e+001  ,-2.616378086197e+002  ,-2.629626500641e+002  ,-2.644984083840e+002  ,-2.816141151791e+002  
  6.309573444802e+004  ,-5.871589311070e+001  ,-5.873630839485e+001  ,-5.876346144121e+001  ,-5.879546339105e+001  ,-2.634405607254e+002  ,-2.646973108106e+002  ,-2.661543680172e+002  ,-2.823084520545e+002  
  6.683439175686e+004  ,-5.824247494115e+001  ,-5.825965357861e+001  ,-5.828234902803e+001  ,-5.828914463775e+001  ,-2.649918262885e+002  ,-2.661821517203e+002  ,-2.675621987569e+002  ,-2.828040057097e+002  
  7.079457843841e+004  ,-5.776125975704e+001  ,-5.777590485027e+001  ,-5.779513813548e+001  ,-5.778691487687e+001  ,-2.663292010658e+002  ,-2.674553902296e+002  ,-2.687609670660e+002  ,-2.831410912082e+002  
  7.498942093325e+004  ,-5.727457102160e+001  ,-5.728724844503e+001  ,-5.730381527885e+001  ,-5.728812699786e+001  ,-2.674860514511e+002  ,-2.685507481775e+002  ,-2.697848790443e+002  ,-2.833528831022e+002  
  7.943282347243e+004  ,-5.678405178284e+001  ,-5.679521244734e+001  ,-5.680974300496e+001  ,-5.679210564651e+001  ,-2.684915322089e+002  ,-2.694975548371e+002  ,-2.706635042955e+002  ,-2.834667476919e+002  
  8.413951416452e+004  ,-5.629085690861e+001  ,-5.630085737444e+001  ,-5.631384710137e+001  ,-5.629821135743e+001  ,-2.693708613657e+002  ,-2.703210832123e+002  ,-2.714221974655e+002  ,-2.835053229985e+002  
  8.912509381337e+004  ,-5.579579431193e+001  ,-5.580491478081e+001  ,-5.581675081766e+001  ,-5.580587268890e+001  ,-2.701457125329e+002  ,-2.710429851077e+002  ,-2.720825916132e+002  ,-2.834873871849e+002  
  9.440608762859e+004  ,-5.529942708862e+001  ,-5.530788656675e+001  ,-5.531886974565e+001  ,-5.531459904843e+001  ,-2.708346430020e+002  ,-2.716817482816e+002  ,-2.726630943505e+002  ,-2.834285562229e+002  
  1.000000000000e+005  ,-5.480214657283e+001  ,-5.481011536890e+001  ,-5.482047817810e+001  ,-5.482398222222e+001  ,-2.714535129022e+002  ,-2.722531349961e+002  ,-2.731793520008e+002  ,-2.833418462523e+002  
  1.059253725177e+005  ,-5.430422417364e+001  ,-5.431183405067e+001  ,-5.432175512372e+001  ,-5.433369163627e+001  ,-2.720158731356e+002  ,-2.727705826957e+002  ,-2.736446668307e+002  ,-2.832381294876e+002  
  1.122018454302e+005  ,-5.380584793712e+001  ,-5.381320027713e+001  ,-5.382281598029e+001  ,-5.384346647233e+001  ,-2.725333128641e+002  ,-2.732455597425e+002  ,-2.740703633097e+002  ,-2.831265064063e+002  
  1.188502227437e+005  ,-5.330714821850e+001  ,-5.331432054367e+001  ,-5.332373418769e+001  ,-5.335310654700e+001  ,-2.730157645809e+002  ,-2.736878757360e+002  ,-2.744661049964e+002  ,-2.830146118344e+002  
